"","VIP","Coefficient"
"initial_biomass",0.572730674551739,579.344940066831
"biomass_after_burning",0.0105460857957877,-10.667878838657
"biomass_after_severe_fire",0.145046815553595,146.721910310726
"biomass_after_mild_fire",0.328089169776388,331.87815642919
"bio_accu_rate_contr_burn",0.000512396954045125,0.518314446600996
"bio_accu_rate_no_contr_burn",0.83544566442133,845.09393313374
"severity_threshold",0.718763540896539,-727.064288723217
"discount_rate",0.409348004444822,-414.07542085497
"fire_risk",0.798891984756675,808.118107854054
"cost_of_controlled_burning",1.46451901549658,-1481.43223151731
"env_imp_severe_fire",1.45965335183096,1476.51037601002
"env_imp_mild_fire",0.0949032975173725,95.9993023865529
"fire_fighting_cost_mild_fire",0.138722987910948,140.325051002484
"fire_fighting_cost_severe_fire",2.6868471810718,2717.87663600364
